TARGET_DU:Rotation-Vel-Cmd     2020-06-09 13:43:40.460072 10  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:24.350683 0.0036  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:24.851882 0  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:25.849831 -0.0072  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:26.349842 0  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:26.849851 0.0036  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:27.349889 -0.0143  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:28.349884 0  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:30.350080 -0.0107  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:30.850169 0  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:31.350173 0.0143  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:31.850208 0.0179  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:32.350244 0.025  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:32.850260 0.0465  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:33.351344 0.0608  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:33.850370 0.0966  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:34.350379 0.2146  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:34.850495 0.2182  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:35.350499 0.2933  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:35.850504 0.2968  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:36.350554 0.3326  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:36.850579 0.3719  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:37.350616 0.3684  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:37.850707 0.4077  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:38.350666 0.3612  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:38.851725 0.4041  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:39.350783 0.3898  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:39.849961 0.3397  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:40.350094 0.329  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:40.850009 0.3469  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:41.350096 0.3684  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:41.849968 0.4184  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:42.350014 0.4542  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:42.850059 0.5507  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:43.350124 0.5615  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:43.850352 0.6187  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:44.350172 0.6008  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:44.850142 0.6938  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:45.350269 0.7045  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:45.850278 0.7117  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:46.350239 0.6831  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:46.850325 0.6473  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:47.351366 0.6366  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:47.850318 0.6652  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:48.350371 0.6509  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:48.850389 0.6831  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:49.350438 0.7153  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:49.850457 0.7439  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:50.350513 0.7939  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:50.850589 0.8368  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:51.350633 0.8762  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:51.850715 0.9477  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:52.350759 0.9906  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:52.851704 0.9584  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:53.350917 0.9871  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:53.850921 1.0228  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:54.350179 0.9799  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:54.850163 0.9441  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:55.350168 0.9692  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:55.850210 0.9584  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:56.350137 0.9942  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:56.850199 0.9871  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:57.350263 1.03  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:57.850293 1.055  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:58.350282 1.1265  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:58.850359 1.1444  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:59.350393 1.1694  
TARGET_DU:Rotation-ActVel      2020-06-09 13:44:59.850430 1.2481  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:00.350454 1.2696  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:00.850621 1.3089  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:01.350577 1.2875  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:01.850537 1.2481  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:02.350559 1.3125  
TARGET_DU:Rotation-ActVel      2020-06-09 13:45:02.850721 1.3232  
