TARGET_DU:Rotation-Vel-Cmd     2020-06-09 13:43:40.460072 10  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:35.856271 10.078  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:36.356183 9.917  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:36.856224 10.0136  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:37.356251 9.9528  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:37.856294 10.0672  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:38.356294 9.9492  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:38.856385 10.0958  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:39.356387 10.0207  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:39.856464 10.0636  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:40.356463 9.9885  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:40.856451 9.9814  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:41.356569 9.9313  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:41.856581 9.9885  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:42.356542 9.8455  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:42.856675 9.9528  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:43.356708 9.9242  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:43.856755 9.9385  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:44.357769 9.9206  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:44.856813 10.0029  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:45.356887 9.9528  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:45.856891 9.8419  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:46.357947 9.892  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:46.856828 9.8884  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:47.356833 9.8419  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:47.857059 9.9099  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:48.357151 9.8455  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:48.857129 9.7847  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:49.356366 9.8169  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:49.857371 9.6488  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:50.356426 9.7847  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:50.856381 9.7203  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:51.356382 9.7239  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:51.856516 9.6667  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:52.356539 9.7311  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:52.856424 9.6345  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:53.356499 9.6488  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:53.856510 9.6524  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:54.356539 9.5594  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:54.856642 9.5451  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:55.356718 9.6023  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:55.856586 9.4914  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:56.356728 9.3555  
TARGET_DU:Rotation-ActVel      2020-06-09 13:54:56.856785 9.3448  
